nameOfCamp,ID, amountReached , goalOfCamp ,goalPercentage,funded,exceeded,category,dateCreated,monthCreated,dateCreatedFormatted,dateScraped,daysSinceStarted,peopleDonated,WRONGnumberOfDays,locationCity,locationState,socialMediaShares,numberOfFBComments,numberOfUpdates,WRONGNumberOfFbComments,WRONGNumberOfUpdates
Craig/Jeannie Family Burn Recovery,36,"23,440",50000,0.469,0,0,Animals," September 2, 2016",9,9/2/16,9/25/16,23,309,22,WASHINGTON,DC,669000,11,17,11,17
SAVE HENRY,37,865,4500,0.192,0,0,Animals," September 24, 2016",9,9/24/16,9/25/16,1,17,1,WEST PALM BEACH,FL,97000,0,1,,1
Starfire's Transport to Sanctuary,38,"5,185",7500,0.691,0,0,Animals," May 12, 2016",5,5/12/16,9/25/16,136,59,4,MALIBU,CA,1000,3,2,3,2
Negri's Emergency Surgery,39,937,7000,0.134,0,0,Animals," September 6, 2016",9,9/6/16,9/25/16,19,37,19,MIAMI,FL,330000,2,5,2,5
BFF Kitten Kountdown,40,"5,869",10000,0.587,0,0,Animals," April 25, 2016",4,4/25/16,9/25/16,153,95,5,FORT LAUDERDALE,FL,1000,5,43,5,43
SMPS Water Drive for Flint,41,"5,055",6800,0.743,0,0,Flint Crisis," January 10, 2016",1,1/10/16,9/25/16,259,198,8,ANN ARBOR,MI,1000,1,4,1,4
Oakley's Surgery Funds,42,375,5000,0.075,0,0,Animals," September 24, 2016",9,9/24/16,9/25/16,1,15,1,NORTH LAS VEGAS,NV,112000,3,1,3,1
Azias Fight Against AIHA,43,810,10000,0.081,0,0,Animals," September 23, 2016",9,9/23/16,9/25/16,2,13,1,DAYTON,OH,212000,0,3,,3
Alpena Dog Park,44,"1,775",3400,0.522,0,0,Animals," September 17, 2016",9,9/17/16,9/25/16,8,28,7,ALPENA,MI,364000,0,0,,
Limo's Tumor Fund,45,"2,650",2600,1.019,1,0,Animals," September 19, 2016",9,9/19/16,9/25/16,6,40,5,WEEHAWKEN,NJ,61000,1,5,1,5
Penny's heart surgery ,46,460,6000,0.077,0,0,Animals," September 23, 2016",9,9/23/16,9/25/16,2,15,1,SHARON HILL,PA,86000,1,0,1,
Lucky Paws Sanctuary,47,"13,435",1400000,0.01,0,0,Animals," August 20, 2016",8,8/20/16,9/25/16,36,35,1,SCOTTSDALE,AZ,736000,0,0,,
David & Kayla's Tornado Help,48,"11,060",10000,1.106,1,1,US Storms," December 27, 2015",12,12/27/15,9/25/16,273,136,9,DALLAS,TX,941000,0,2,,2
Sweet Puppy's Fracture Repair,49,"3,280",3000,1.093,1,0,Animals," September 22, 2016",9,9/22/16,9/25/16,3,121,3,ATHENS,GA,467000,0,3,,3
Renovate our home!!,50,"9,640",20000,0.482,0,0,Animals," August 8, 2014",8,8/8/14,9/25/16,779,156,25,GOSHEN,KY,910000,4,12,4,12
Ginger abused Yorkie Fund,51,"23,120",35000,0.661,0,0,Animals," December 3, 2015",12,12/3/15,9/25/16,297,274,9,TENAFLY,NJ,3300,18,34,18,34
Friends of SCAC Rescue Fund,52,600,5000,0.12,0,0,Animals," April 23, 2016",4,4/23/16,9/25/16,155,23,5,SPRINGFIELD,IL,252000,0,6,,6
Help Support the Austin Zoo,53,"20,080",30000,0.669,0,0,Animals," July 5, 2014",7,7/5/14,9/25/16,813,374,27,AUSTIN,TX,1000,0,0,,
PAS Distemper Fund,54,"4,575",10000,0.458,0,0,Animals," April 22, 2015",4,4/22/15,9/25/16,522,125,17,PONDERAY,ID,11000,1,2,1,2
Abused and Abandoned Dog Sanctuary,55,"4,125",12000,0.344,0,0,Animals," August 19, 2015",8,8/19/15,9/25/16,403,133,13,RANCHO CORDOVA,CA,1900,0,42,,42
Twin Oaks Mr. Tibbs Memorial Fund,56,"15,179",50000,0.304,0,0,Animals," May 1, 2014",5,5/1/14,9/25/16,878,279,29,MANORVILLE,NY,782000,14,34,14,34
Kane's Emergency Medical Expenses,57,895,5000,0.179,0,0,Animals," September 22, 2016",9,9/22/16,9/25/16,3,26,3,Sarnia,ON,258000,0,8,,8
