nameOfCamp,ID, amountReached , goalOfCamp ,goalPercentage,funded,exceeded,category,dateCreated,monthCreated,dateCreatedFormatted,dateScraped,daysSinceStarted,peopleDonated,WRONGnumberOfDays,locationCity,locationState,socialMediaShares,numberOfFBComments,numberOfUpdates,WRONGNumberOfFbComments,WRONGNumberOfUpdates
Love WINs!- Help us Rebuild,574,"15,528",50000,0.311,0,0,Charity," January 15, 2016",1,1/15/16,9/25/16,254,462,8,CHARLESTOWN,IN,2400,10,1,10,1
Help Us Prevent Overdose Deaths,575,734,25000,0.029,0,0,Charity," September 22, 2016",9,9/22/16,9/25/16,3,18,3,BRONX,NY,523000,0,0,,
UWC USA for Cancer ,576,"1,208",1500,0.805,0,0,Charity," September 13, 2016",9,9/13/16,9/25/16,12,33,11,MONTEZUMA,NM,235000,0,0,,
Send Veterans to USMNT vs Mexico,577,"38,154",38000,1.004,1,0,Charity," July 29, 2015",7,7/29/15,9/25/16,424,660,14,RIALTO,CA,12000,9,38,9,38
So Enbridge Sued Us,578,"9,653",125000,0.077,0,0,Charity," July 14, 2015",7,7/14/15,9/25/16,439,166,14,WAUSAU,WI,1400,7,9,7,9
Save SEALAB I -USA's 1st U/W House,579,"5,575",33000,0.169,0,0,Charity," April 24, 2015",4,4/24/15,9/25/16,520,45,17,PANAMA CITY BEACH,FL,355000,5,17,5,17
165 Miles for USO of Illinois  ,580,"4,025",500,8.05,1,1,Charity," December 27, 2012",12,12/27/12,9/25/16,1368,73,45,MANHATTAN,KS,435000,2,24,2,24
Help Us Bring Life to Pawtucket,581,"1,025",1500,0.683,0,0,Charity," May 31, 2016",5,5/31/16,9/25/16,117,23,3,PAWTUCKET,RI,170000,0,1,,1
Help us take 20 kids camping!,582,"2,470",2470,1,1,0,Charity," July 9, 2016",7,7/9/16,9/25/16,78,27,2,SAN JOSE,CA,95000,0,1,,1
Building A World Peace Center In US,583,450,2500000,0,0,0,Charity," August 23, 2016",8,8/23/16,9/25/16,33,11,1,MCDONOUGH,GA,82000,0,3,,3
Help us from loosing our home,584,375,800,0.469,0,0,Charity," June 22, 2016",6,6/22/16,9/25/16,95,10,3,MEADVILLE,PA,110000,0,5,,5
Support Transplant Games of USA,585,"1,500",10000,0.15,0,0,Charity," March 3, 2016",3,3/3/16,9/25/16,206,50,6,CRANSTON,RI,81000,1,1,1,1
Help us get the trucks painted PINK,586,"3,280",8500,0.386,0,0,Charity," June 14, 2016",6,6/14/16,9/25/16,103,6,3,OLD BRIDGE,NJ,129000,0,1,,1
Help us to raise this church,587,700,5000,0.14,0,0,Charity," July 24, 2016",7,7/24/16,9/25/16,63,9,2,READING,PA,126000,0,1,,1
LIGHT UP OUR FIELDS,588,430,75000,0.006,0,0,Charity," February 23, 2016",2,2/23/16,9/25/16,215,16,7,WALKERTOWN,NC,254000,0,3,,3
Help us build a classroom,589,"4,405",30000,0.147,0,0,Charity," August 21, 2015",8,8/21/15,9/25/16,401,33,13,VALLEY VILLAGE,CA,63000,0,6,,6
Help Save Teenage Mom & Baby Refuge,590,"1,369",60000,0.023,0,0,Charity," September 22, 2016",9,9/22/16,9/25/16,3,20,3,WINDSOR,PA,407000,2,2,2,2
WORK LEARN EARN & GIVE BACK ,591,"3,720",10000,0.372,0,0,Charity," March 22, 2015",3,3/22/15,9/25/16,553,82,18,PINE BLUFF,AR,1100,1,81,1,81
Little Hands of Hope ,592,"11,000",80000,0.138,0,0,Charity," April 18, 2013",4,4/18/13,9/25/16,1256,131,41,MACHIAS,ME,1000,0,132,,132
8th Annual Miles for Matias,593,"2,124",3500,0.607,0,0,Charity," August 3, 2016",8,8/3/16,9/25/16,53,56,1,BINGHAMTON,NY,135000,0,1,,1
SpecDrum: World Culture Education,594,"8,259",56400,0.146,0,0,Charity," July 31, 2016",7,7/31/16,9/25/16,56,71,1,Ferguson,MO,775000,1,12,1,12
Blankets for blessings,595,"10,725",10000,1.073,1,0,Charity," February 5, 2016",2,2/5/16,9/25/16,233,223,7,BOZEMAN,MT,846000,2,10,2,10
Ypsilanti Thrift Shop New Roof Fund,596,"7,130",10000,0.713,0,0,Charity," July 20, 2016",7,7/20/16,9/25/16,67,76,2,YPSILANTI,MI,408000,2,11,2,11
FF/PM Daniel V Capuano Memorial ,597,"11,280",12000,0.94,0,0,Charity," February 16, 2016",2,2/16/16,9/25/16,222,135,7,CHICAGO,IL,921000,0,4,,4
US Marines Combat Disabled Veterans,598,120,15000,0.008,0,0,Charity," April 11, 2016",4,4/11/16,9/25/16,167,2,5,GRASS VALLEY,CA,37000,0,1,,1
USBA 2020  -AAU Basketball ,599,100,5000,0.02,0,0,Charity," June 27, 2016",6,6/27/16,9/25/16,90,1,2,MONROE,OR,45000,0,0,,
HELP US HELP HOMELESS  AND VETERANS,600,155,300,0.517,0,0,Charity," July 7, 2016",7,7/7/16,9/25/16,80,3,2,ARLINGTON,TX,12000,0,0,,
Help us help Children,601,675,2500,0.27,0,0,Charity," November 18, 2013",11,11/18/13,9/25/16,1042,7,34,SANDERSVILLE,GA,40000,2,3,2,3
Help Us Raise Money for Toys For Tots,602,420,1500,0.28,0,0,Charity," March 11, 2014",3,3/11/14,9/25/16,929,5,30,SPRINGDALE,AR,49000,0,8,,8
Help US Help Her find a home!! ,603,50,10000,0.005,0,0,Charity," August 9, 2016",8,8/9/16,9/25/16,47,1,1,ORLANDO,FL,18000,0,0,,
Help us Launch Project Out,604,675,5000,0.135,0,0,Charity," June 7, 2016",6,6/7/16,9/25/16,110,4,3,SALISBURY,MD,9000,1,3,1,3
Used car to work for Uber,605,20,5000,0.004,0,0,Charity," July 17, 2016",7,7/17/16,9/25/16,70,1,2,JERSEY CITY,NJ,24000,1,1,1,1
Help Us Fight Death with LIFE! ,606,"3,720",40000,0.093,0,0,Charity," January 15, 2013",1,1/15/13,9/25/16,1349,12,44,PHOENIX,AZ,17000,0,0,,
Help Refugee Youth Feel At Home,607,"1,100",30000,0.037,0,0,Charity," September 21, 2016",9,9/21/16,9/25/16,4,10,3,PALO ALTO,CA,88000,0,0,,
Donate to Binghamton Food Rescue!,608,"1,260",2500,0.504,0,0,Charity," August 8, 2016",8,8/8/16,9/25/16,48,20,1,BINGHAMTON,NY,126000,0,1,,1
Zooography storm clean up,609,"1,150",8000,0.144,0,0,Charity," September 21, 2016",9,9/21/16,9/25/16,4,21,4,CHESAPEAKE,VA,213000,0,2,,2
The Earth Rebirth Center Staff,610,"1,900",2000,0.95,0,0,Charity," August 27, 2016",8,8/27/16,9/25/16,29,38,28,NORMAN,OK,438000,1,3,1,3
Sandown Depot,611,440,10000,0.044,0,0,Charity," August 23, 2016",8,8/23/16,9/25/16,33,11,1,SANDOWN,NH,43000,0,0,,
Preserve & Protect Camp Springs,612,"7,970",10000,0.797,0,0,Charity," March 11, 2016",3,3/11/16,9/25/16,198,47,6,MELBOURNE,KY,589000,2,3,2,3
Juvenile Life transition Project,613,155,2500,0.062,0,0,Charity," August 8, 2016",8,8/8/16,9/25/16,48,3,1,PORTLAND,OR,594000,3,1,3,1
Support College Hill  Co-op!,614,"2,980",30000,0.099,0,0,Charity," March 17, 2016",3,3/17/16,9/25/16,192,41,6,GREENSBORO,NC,573000,1,8,1,8
#HappyPeriod Movement,615,"6,294",10000,0.629,0,0,Charity," July 31, 2015",7,7/31/15,9/25/16,422,146,14,PALMDALE,CA,324000,0,10,,10
#HappyPeriod Movement,616,"6,294",10000,0.629,0,0,Charity," July 31, 2015",7,7/31/15,9/25/16,422,146,14,PALMDALE,CA,324000,0,10,,10
Full Truth Ministries Building Fund,617,660,10000000,0,0,0,Charity," September 20, 2016",9,9/20/16,9/25/16,5,21,4,SOLON,OH,80000,0,0,,
Closing the STEM Achievement Gap,618,"7,805",10000,0.781,0,0,Charity," April 3, 2016",4,4/3/16,9/25/16,175,47,5,HYDE PARK,MA,317000,1,1,1,1
F Breast Cancer! Podcast-a-thon,619,"7,510",3000,2.503,1,1,Charity," June 13, 2016",6,6/13/16,9/25/16,104,186,3,SCHAUMBURG,IL,543000,0,0,,
SV Raiderthon for Miracle League,620,"7,841",20000,0.392,0,0,Charity," December 16, 2015",12,12/16/15,9/25/16,284,177,9,HARMONY,PA,543000,5,0,5,
Help TWRC Save Wildlife In Need!,621,"8,170",65000,0.126,0,0,Charity," April 11, 2015",4,4/11/15,9/25/16,533,125,17,HOUSTON,TX,483000,3,8,3,8
RecoveryRockFest 2016,622,"2,980",5000,0.596,0,0,Charity," June 14, 2016",6,6/14/16,9/25/16,103,32,3,WILMINGTON,NC,467000,1,49,1,49
Help Build Trenholm,623,"1,200",10000,0.12,0,0,Charity," September 7, 2016",9,9/7/16,9/25/16,18,9,18,ATLANTA,GA,138000,0,0,,
Kate's Heart: Founders Fund,624,"8,000",15000,0.533,0,0,Charity," September 14, 2016",9,9/14/16,9/25/16,11,39,11,COLUMBIA,MO,135000,1,0,1,
Send IAJSD to Next Gen!,625,"7,345",12000,0.612,0,0,Charity," February 3, 2016",2,2/3/16,9/25/16,235,75,7,SAN DIEGO,CA,516000,0,10,,10
Send IAJSD to Next Gen!,626,"7,345",12000,0.612,0,0,Charity," February 3, 2016",2,2/3/16,9/25/16,235,75,7,SAN DIEGO,CA,516000,0,10,,10
The Sherburne Inn Matching Grant,627,"50,108",50000,1.002,1,0,Charity," August 5, 2015",8,8/5/15,9/25/16,417,150,13,SHERBURNE,NY,499000,1,33,1,33
Kristen to Miss Amazing Nationals,628,"3,155",5000,0.631,0,0,Charity," May 25, 2016",5,5/25/16,9/25/16,123,49,4,EPPING,NH,495000,1,5,1,5
Help #PeytonHeartProject be a 501c3,629,"1,374",3000,0.458,0,0,Charity," September 5, 2016",9,9/5/16,9/25/16,20,35,20,CONROE,TX,155000,0,1,,1
Help My Parents Avoid Eviction,630,585,10000,0.059,0,0,Charity," September 9, 2016",9,9/9/16,9/25/16,16,10,15,COLUMBIA,MO,151000,10,0,10,
Asylum for Central American Women,631,"3,390",20000,0.17,0,0,Charity," September 13, 2016",9,9/13/16,9/25/16,12,27,12,BOSTON,MA,67000,0,0,,
Golden Boy benefit for Parkinson's,632,"6,506",50000,0.13,0,0,Charity," July 13, 2016",7,7/13/16,9/25/16,74,37,2,NEW YORK,NY,59000,1,0,1,
UWC USA for Cancer ,633,"1,208",1500,0.805,0,0,Charity," September 13, 2016",9,9/13/16,9/25/16,12,33,11,MONTEZUMA,NM,235000,0,0,,
TKE Bubble Soccer for St. Jude's,634,250,1500,0.167,0,0,Charity," September 18, 2016",9,9/18/16,9/25/16,7,12,6,LAKE SAINT LOUIS,MO,232000,0,0,,
Abused dog's teeth filed down,635,215,1500,0.143,0,0,Charity," September 21, 2016",9,9/21/16,9/25/16,4,9,4,MANCHESTER,MI,126000,0,2,,2
Water Is Life!,636,"3,494",5225,0.669,0,0,Charity," July 9, 2016",7,7/9/16,9/25/16,78,39,2,SAINT JOSEPH,MI,601000,0,2,,2
PIKE Binghamton 2016 Greek God,637,"2,298",5000,0.46,0,0,Charity," August 17, 2016",8,8/17/16,9/25/16,39,31,1,RONKONKOMA,NY,157000,0,0,,
Lesvos Humanitarian Aid,638,"5,681",10000,0.568,0,0,Charity," June 7, 2015",6,6/7/15,9/25/16,476,119,15,EAST LANSING,MI,423000,2,0,2,
Defense money for TOVEET's Justice,639,"5,460",25000,0.218,0,0,Charity," March 20, 2016",3,3/20/16,9/25/16,189,111,6,SAINT LOUIS,MO,1900,1,10,1,10
Baton Rouge Food Bank Fund,640,"1,075",2000,0.538,0,0,Charity," August 20, 2016",8,8/20/16,9/25/16,36,22,1,MILTON,FL,144000,1,1,1,1
Organized dinner at Ramji Temple,641,883,1200,0.736,0,0,Charity," August 12, 2016",8,8/12/16,9/25/16,44,33,1,Montral,QC,126000,0,1,,1
GOA Special Needs Baby Goat Rescue,642,"18,490",15000,1.233,1,1,Charity," May 20, 2016",5,5/20/16,9/25/16,128,432,4,ANNANDALE,NJ,339000,0,0,,
RWF: Quantico to Lejeune ,643,"5,765",7000,0.824,0,0,Charity," June 10, 2016",6,6/10/16,9/25/16,107,79,3,FREDERICKSBURG,VA,391000,0,20,,20
DOM'S DIMES - Helping the homeless,644,"5,495",5000,1.099,1,0,Charity," September 6, 2015",9,9/6/15,9/25/16,385,125,12,QUINCY,MA,651000,0,9,,9
Restore BG Huey,645,"4,076",60000,0.068,0,0,Charity," August 18, 2016",8,8/18/16,9/25/16,38,31,1,BOWLING GREEN,KY,329000,0,5,,5
Warrior Wheels,646,"1,540",3000,0.513,0,0,Charity," February 3, 2016",2,2/3/16,9/25/16,235,17,7,LAS VEGAS,NV,384000,0,2,,2
Cancer Support Community/V/V/SB,647,"3,185",500000,0.006,0,0,Charity," July 26, 2016",7,7/26/16,9/25/16,61,26,2,WESTLAKE VILLAGE,CA,381000,0,3,,3
VFW POST 10209 HONOR GUARD VAN,648,"6,273",20000,0.314,0,0,Charity," June 14, 2016",6,6/14/16,9/25/16,103,37,3,SPRING HILL,FL,333000,0,13,,13
Will Quilt to Support our Military!,649,"1,347",25000,0.054,0,0,Charity," September 12, 2016",9,9/12/16,9/25/16,13,15,13,MORRO BAY,CA,212000,1,2,1,2
Orphanage Home in Uganda,650,420,2000,0.21,0,0,Charity," July 12, 2016",7,7/12/16,9/25/16,75,14,2,VICTORVILLE,CA,309000,0,0,,
FPPK - Fire Restoration Project,651,"7,566",50000,0.151,0,0,Charity," March 28, 2016",3,3/28/16,9/25/16,181,77,6,,,350000,0,13,,13
Self-Defense Tools for Surivivors,652,325,1100,0.295,0,0,Charity," September 14, 2016",9,9/14/16,9/25/16,11,9,10,PORTLAND,OR,62000,0,6,,6
Storytelling for Border Convergence,653,580,900,0.644,0,0,Charity," September 23, 2016",9,9/23/16,9/25/16,2,7,2,LEXINGTON,KY,26000,0,0,,
Cool Man Needs to Feel Better!,654,"1,870",2000,0.935,0,0,Charity," September 17, 2016",9,9/17/16,9/25/16,8,30,8,MANOR,TX,186000,0,6,,6
Senior Cat Shelter and Hospice Care,655,"3,110",5000,0.622,0,0,Charity," June 28, 2014",6,6/28/14,9/25/16,820,66,27,LUTZ,FL,321000,0,22,,22
Saving the dogs who saved me. ,656,875,25000,0.035,0,0,Charity," February 7, 2016",2,2/7/16,9/25/16,231,25,7,STUART,FL,289000,1,5,1,5
Help Save Baby's Leg!! ,657,"3,380",3000,1.127,1,1,Charity," July 16, 2013",7,7/16/13,9/25/16,1167,56,38,EAST ROCKAWAY,NY,235000,0,11,,11
Send Disabled Veterans Fishing!,658,"3,075",3600,0.854,0,0,Charity," April 20, 2016",4,4/20/16,9/25/16,158,20,5,NEW BERN,NC,192000,0,3,,3
Let's look into FPB's Coal Contract,659,"2,005",8500,0.236,0,0,Charity," September 18, 2016",9,9/18/16,9/25/16,7,16,6,FRANKFORT,KY,97000,0,0,,
The Relationship Foundation,660,"1,660",10000,0.166,0,0,Charity," July 11, 2016",7,7/11/16,9/25/16,76,55,2,NEW YORK,NY,153000,1,0,1,
Sponsoring a Syrian Kurdish family,661,"1,275",3000,0.425,0,0,Charity," October 20, 2015",10,10/20/15,9/25/16,341,20,11,Oakville,ON,265000,6,13,6,13
First Desk - a desk for every child,662,"5,170",10000,0.517,0,0,Charity," January 27, 2016",1,1/27/16,9/25/16,242,45,8,EAGLE MOUNTAIN,UT,2400,4,9,4,9
Stock The Shelves III ,663,"3,668",10000,0.367,0,0,Charity," August 25, 2016",8,8/25/16,9/25/16,31,36,1,DALLAS,TX,185000,1,1,1,1
Ben E. Williams Bball Invitational,664,"1,080",3000,0.36,0,0,Charity," November 30, 2015",11,11/30/15,9/25/16,300,11,9,TOLEDO,OH,257000,0,2,,2
Food 4 Kids,665,"1,465",15000,0.098,0,0,Charity," July 27, 2016",7,7/27/16,9/25/16,60,17,1,CHARLESTON,IL,253000,0,0,,
My Recovery Buddy  Challenge,666,797,3000,0.266,0,0,Charity," April 30, 2016",4,4/30/16,9/25/16,148,22,4,ALLENDALE,NJ,254000,0,3,,3
 Veteran's Green Cleaning Training ,667,"1,365",3000,0.455,0,0,Charity," February 14, 2016",2,2/14/16,9/25/16,224,21,7,CAPITOL HEIGHTS,MD,157000,2,13,2,13
Sophies ALGS Walk For a Better Life,668,"1,150",10000,0.115,0,0,Charity," April 21, 2016",4,4/21/16,9/25/16,157,19,5,RANDOLPH,MA,154000,0,0,,
Rebuilding Pompei,669,"1,000",25000,0.04,0,0,Charity," March 23, 2015",3,3/23/15,9/25/16,552,11,18,BALTIMORE,MD,250000,0,6,,6
Philippines Social Entrepreneurship,670,"1,365",2500,0.546,0,0,Charity," June 6, 2016",6,6/6/16,9/25/16,111,16,3,PALO ALTO,CA,247000,0,2,,2
Spencer Police Equipment Fundraiser,671,870,30000,0.029,0,0,Charity," August 25, 2016",8,8/25/16,9/25/16,31,8,1,SPENCER,OK,247000,0,0,,
A New Hub for the Community,672,"43,166",165000,0.262,0,0,Charity," March 24, 2016",3,3/24/16,9/25/16,185,47,6,FAR ROCKAWAY,NY,246000,0,4,,4
FITE's Expenses Fund,673,610,2000,0.305,0,0,Charity," August 24, 2016",8,8/24/16,9/25/16,32,23,1,HOUSTON,TX,103000,0,0,,
Build Tanaina ,674,"296,836",325000,0.913,0,0,Charity," March 8, 2016",3,3/8/16,9/25/16,201,74,6,ANCHORAGE,AK,244000,0,0,,
Keeping Our Doors Open,675,300,5000,0.06,0,0,Charity," January 26, 2016",1,1/26/16,9/25/16,243,8,8,BRIDGTON,ME,235000,0,10,,10
Bring Smiles To Orphans,676,897,4000,0.224,0,0,Charity," September 16, 2016",9,9/16/16,9/25/16,9,11,9,SUWANEE,GA,58000,0,0,,
Bring Smiles To Orphans,677,897,4000,0.224,0,0,Charity," September 16, 2016",9,9/16/16,9/25/16,9,11,9,SUWANEE,GA,58000,0,0,,
Relentless Society Kick-Off,678,655,100000,0.007,0,0,Charity," August 11, 2016",8,8/11/16,9/25/16,45,13,1,TEMPLE HILLS,MD,24000,0,0,,
BCHS Band - Holiday Bowl 2016!,679,"1,105",50000,0.022,0,0,Charity," April 15, 2016",4,4/15/16,9/25/16,163,17,5,Anthem,AZ,234000,0,0,,
The freddie gym ,680,90,40000,0.002,0,0,Charity," September 16, 2016",9,9/16/16,9/25/16,9,12,9,JACKSONVILLE,FL,73000,1,5,1,5
Help Support The Shamrock Regiment,681,780,7500,0.104,0,0,Charity," September 13, 2016",9,9/13/16,9/25/16,12,9,11,LA PALMA,CA,94000,0,1,,1
Transportation To Standing Rock,682,310,5000,0.062,0,0,Charity," July 1, 2015",7,7/1/15,9/25/16,452,9,15,CLARKSTON,MI,183000,1,2,1,2
2016Rideforrichardmoreau,683,"2,080",2000,1.04,1,0,Charity," September 12, 2016",9,9/12/16,9/25/16,13,29,12,NORTH ATTLEBORO,MA,185000,0,0,,
Homecoming for Habitat for Humanity,684,235,8000,0.029,0,0,Charity," September 18, 2016",9,9/18/16,9/25/16,7,10,7,COOKEVILLE,TN,165000,0,1,,1
Renovate a Sand Volleyball Court ,685,850,2000,0.425,0,0,Charity," August 15, 2016",8,8/15/16,9/25/16,41,23,1,PLANO,TX,115000,0,6,,6
Breaking Invisible Hygiene Kits ,686,280,500,0.56,0,0,Charity," July 20, 2016",7,7/20/16,9/25/16,67,11,2,WEST COVINA,CA,200000,0,0,,
Guitars to Kenya! ,687,868,1000,0.868,0,0,Charity," September 15, 2016",9,9/15/16,9/25/16,10,19,9,BLACKSBURG,VA,69000,0,6,,6
Food Crisis in Venezuela,688,880,3000,0.293,0,0,Charity," June 28, 2016",6,6/28/16,9/25/16,89,16,2,MIAMI,FL,154000,0,1,,1
CLEAN HANDS FOR HAITI,689,"13,792",25000,0.552,0,0,Charity," March 28, 2016",3,3/28/16,9/25/16,181,140,6,BROOKLYN,NY,195000,0,0,,
Howard University Charter Day,690,"20,205",40000,0.505,0,0,Charity," December 1, 2015",12,12/1/15,9/25/16,299,41,9,ATLANTA,GA,186000,2,4,2,4
MeMe's House,691,"1,590",3000,0.53,0,0,Charity," February 11, 2016",2,2/11/16,9/25/16,227,23,7,MARIETTA,GA,182000,0,11,,11
Power to the Period - San Antonio,692,425,1000,0.425,0,0,Charity," September 19, 2016",9,9/19/16,9/25/16,6,10,6,SAN ANTONIO,TX,56000,0,1,,1
supplying relief to Haiti,693,"3,073",250000,0.012,0,0,Charity," June 21, 2016",6,6/21/16,9/25/16,96,67,3,PHILADELPHIA,PA,194000,0,8,,8
iJog Page Academy - Newport Mesa ,694,545,5000,0.109,0,0,Charity," September 6, 2016",9,9/6/16,9/25/16,19,13,19,COSTA MESA,CA,22000,0,0,,
2016 Kid's Village Tour!,695,495,4000,0.124,0,0,Charity," September 10, 2016",9,9/10/16,9/25/16,15,12,14,BLACHLY,OR,93000,0,0,,
Backpacking to California ,696,160,5000,0.032,0,0,Charity," September 11, 2016",9,9/11/16,9/25/16,14,4,14,SIKESTON,MO,136000,2,0,2,
Mohawk Valley Crime Stoppers,697,155,8000,0.019,0,0,Charity," February 28, 2015",2,2/28/15,9/25/16,575,4,19,AMSTERDAM,NY,87000,0,5,,5
Mohawk Valley Crime Stoppers,698,155,8000,0.019,0,0,Charity," February 28, 2015",2,2/28/15,9/25/16,575,4,19,AMSTERDAM,NY,87000,0,5,,5
Wreaths Across America,699,"1,760",1500,1.173,1,1,Charity," October 15, 2015",10,10/15/15,9/25/16,346,25,11,ZION,IL,173000,16,2,16,2
New Zamboni For BGC Berkshires! ,700,"1,050",25000,0.042,0,0,Charity," February 3, 2016",2,2/3/16,9/25/16,235,15,7,PITTSFIELD,MA,166000,3,1,3,1
Help Big Brothers Big Sisters LA ,701,"1,359",13000,0.105,0,0,Charity," September 19, 2016",9,9/19/16,9/25/16,6,16,5,LOS ANGELES,CA,48000,0,1,,1
Help Me Interview a WWII Vet Daily,702,"3,070",19000,0.162,0,0,Charity," May 26, 2016",5,5/26/16,9/25/16,122,45,4,AGOURA HILLS,CA,166000,0,0,,
Consciousness in Action,703,310,10000,0.031,0,0,Charity," August 29, 2016",8,8/29/16,9/25/16,27,5,27,BRONX,NY,124000,0,1,,1
PARDONED PETS ANIMAL RESCUE,704,630,2285,0.276,0,0,Charity," February 9, 2016",2,2/9/16,9/25/16,229,14,7,ASHLAND,VA,120000,0,5,,5
Track Team going to the Jr.Olympics,705,100,5000,0.02,0,0,Charity," July 2, 2016",7,7/2/16,9/25/16,85,2,2,THOMASVILLE,GA,158000,0,0,,
Movin' On Up Fund,706,"15,625",40000,0.391,0,0,Charity," January 28, 2016",1,1/28/16,9/25/16,241,27,8,SAN FRANCISCO,CA,152000,0,0,,
FLM DAYCARE & PRESCHOOL RELOCATION,707,115,25000,0.005,0,0,Charity," May 19, 2014",5,5/19/14,9/25/16,860,3,28,KATY,TX,32000,0,1,,1
The Willys and Betty Peck Bronzes,708,"1,590",70000,0.023,0,0,Charity," July 20, 2016",7,7/20/16,9/25/16,67,12,2,SARATOGA,CA,56000,0,4,,4
VIP Preschool Scholarships,709,"1,835",120000,0.015,0,0,Charity," February 24, 2016",2,2/24/16,9/25/16,214,15,7,HEMET,CA,135000,0,4,,4
818 Ministries Registration Fees,710,"1,025",1000,1.025,1,0,Charity," August 6, 2016",8,8/6/16,9/25/16,50,9,1,KNOXVILLE,TN,22000,0,2,,2
Breezy's Legacy,711,100,8000,0.013,0,0,Charity," May 6, 2015",5,5/6/15,9/25/16,508,4,16,LONGWOOD,FL,55000,0,10,,10
Wilmington Memorial Day Parade,712,"1,685",2000,0.843,0,0,Charity," May 6, 2016",5,5/6/16,9/25/16,142,12,4,WILMINGTON,DE,133000,0,3,,3
HOYH Women's Retreat 2016,713,850,15000,0.057,0,0,Charity," January 13, 2016",1,1/13/16,9/25/16,256,9,8,AUSTIN,TX,133000,0,4,,4
SAVE WXRJ 94.9 FM Radio Station,714,"1,819",50000,0.036,0,0,Charity," May 4, 2016",5,5/4/16,9/25/16,144,27,4,BLOOMINGTON,IL,130000,12,2,12,2
RFK Everyone's Birthday Party!,715,"1,100",1000,1.1,1,0,Charity," March 30, 2016",3,3/30/16,9/25/16,179,15,5,BROOMFIELD,CO,130000,0,1,,1
American Warrior Initiative,716,730,5000,0.146,0,0,Charity," September 12, 2016",9,9/12/16,9/25/16,13,13,13,GALENA,OH,20000,0,0,,
Rising to the Highest Fund,717,"1,080",5000,0.216,0,0,Charity," April 22, 2015",4,4/22/15,9/25/16,522,15,17,CINCINNATI,OH,48000,1,7,1,7
Sharing Our Cherokee Heritage,718,510,50000,0.01,0,0,Charity," February 24, 2016",2,2/24/16,9/25/16,214,6,7,GRAY COURT,SC,125000,0,3,,3
Shave My Head 4 Sheaves For Christ,719,"3,635",5000,0.727,0,0,Charity," September 18, 2016",9,9/18/16,9/25/16,7,24,6,FRANKLIN,KY,86000,0,0,,
HHS Breast Cancer Fund-raiser,720,905,1000,0.905,0,0,Charity," September 11, 2016",9,9/11/16,9/25/16,14,19,14,LEESBURG,VA,48000,0,2,,2
Babies Behind Bars,721,465,100000,0.005,0,0,Charity," September 6, 2016",9,9/6/16,9/25/16,19,5,19,INDIANAPOLIS,IN,124000,0,0,,
Statement of Belief and Intention,722,"6,065",6539,0.928,0,0,Charity," April 26, 2016",4,4/26/16,9/25/16,152,78,5,JACKSON,MS,124000,1,0,1,
Cancer Assisted Transportation,723,550,650,0.846,0,0,Charity," July 16, 2016",7,7/16/16,9/25/16,71,16,2,LADSON,SC,120000,0,2,,2
Rotary Oktoberfest!,724,790,3000,0.263,0,0,Charity," June 9, 2016",6,6/9/16,9/25/16,108,26,3,LEONIA,NJ,83000,0,5,,5
Thanksgiving For The People 2016,725,95,1000,0.095,0,0,Charity," September 11, 2016",9,9/11/16,9/25/16,14,3,14,SAN JOSE,CA,92000,0,0,,
Bread of Life Ministry,726,220,6000,0.037,0,0,Charity," September 12, 2016",9,9/12/16,9/25/16,13,3,12,OKLAHOMA CITY,OK,44000,0,1,,1
Share hope in our community,727,200,200000,0.001,0,0,Charity," September 22, 2016",9,9/22/16,9/25/16,3,1,2,FREEPORT,NY,76000,0,0,,
Wings For Warriors ,728,160,10000,0.016,0,0,Charity," January 16, 2016",1,1/16/16,9/25/16,253,3,8,CLARINDA,IA,113000,0,2,,2
Donate to.... Benji's gift to NDSAN,729,"2,355",2000,1.178,1,1,Charity," August 4, 2016",8,8/4/16,9/25/16,52,36,1,HOLBROOK,NY,112000,0,6,,6
Idaho Humane Society Eagle Project,730,290,592,0.49,0,0,Charity," September 19, 2016",9,9/19/16,9/25/16,6,6,5,EAGLE,ID,8000,0,0,,
Enfants du Pays: Art Exhibition,731,"1,870",30000,0.062,0,0,Charity," April 27, 2016",4,4/27/16,9/25/16,151,19,5,ALBANY,NY,108000,1,0,1,
Molestation Awareness Non Profit,732,795,3000,0.265,0,0,Charity," March 28, 2015",3,3/28/15,9/25/16,547,28,18,FORT WORTH,TX,104000,0,0,,
Veterans Place Basement Renovation,733,202,100000,0.002,0,0,Charity," June 28, 2016",6,6/28/16,9/25/16,89,4,2,PITTSBURGH,PA,102000,0,0,,
Powerful Life Radio,734,625,18000,0.035,0,0,Charity," September 20, 2016",9,9/20/16,9/25/16,5,7,4,NORMAN,AR,49000,0,1,,1
please help Bobby,735,695,100000,0.007,0,0,Charity," June 22, 2016",6,6/22/16,9/25/16,95,14,3,NEWPORT BEACH,CA,83000,2,3,2,3
Immediate need for teen moms ,736,240,20000,0.012,0,0,Charity," March 18, 2014",3,3/18/14,9/25/16,922,9,30,COLUMBUS,OH,82000,1,4,1,4
Foundation Launch ,737,415,6000,0.069,0,0,Charity," April 3, 2016",4,4/3/16,9/25/16,175,15,5,Parkland,FL,80000,0,2,,2
